transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
1,27-12-21 08:25,59540,1630,3,0,43.74,0,0
2,06-06-23 21:14,54871,1901,3,0,174.78,21,0
3,31-08-23 05:29,51818,1884,1,0,40.61,37,0
4,26-06-22 20:33,18164,1114,2,0.15,68.76,13,0
5,26-07-23 18:12,86915,408,1,0,14.64,4,0
6,19-01-23 14:05,10749,1635,2,0,169.74,13,0
7,28-07-23 09:37,25984,244,2,0,42.48,21,0
8,10-07-22 07:29,85140,1296,1,0,36.95,2,0
9,02-11-23 05:22,52930,1512,1,0,125.59,23,0
10,25-01-21 06:28,69172,1433,1,0.15,48.72,44,0
11,27-06-22 07:48,13992,154,2,0,94.7,13,0
12,04-04-21 21:06,69122,781,1,0.2,-97.41,30,1
13,09-03-23 15:36,45997,1513,1,0,100.76,43,0
14,03-05-22 20:41,4344,1167,1,0,17.92,0,0
15,27-07-21 16:22,30203,1099,1,0,123.87,46,0
16,13-02-21 07:36,33154,,1,0.05,,29,0
17,27-08-23 12:23,25737,1210,2,0.1,69.57,44,0
18,30-03-23 16:42,75725,785,1,0,138.25,19,0
19,26-07-21 14:10,11918,1960,1,0,251.08,19,0
20,31-07-23 13:11,30583,899,1,0,-176.65,4,1
21,29-03-23 19:49,52652,,1,0,,40,0
22,01-08-21 15:47,30425,,1,0.15,,49,0
23,29-11-22 12:58,58277,714,1,0,47.82,46,0
24,16-09-22 14:44,34898,1813,1,0,18.39,36,0
25,03-11-21 06:20,17574,780,3,0,178.05,33,0
26,26-01-21 09:47,81956,561,1,0,73.88,21,0
27,03-09-23 12:48,36945,1611,1,0.1,84.8,0,0
28,16-05-22 14:05,91979,1,1,0.15,12.06,24,0
29,13-08-22 07:29,2530,275,1,0.15,12.55,0,0
30,19-09-21 16:44,25399,787,1,0.05,12.25,4,0
31,17-01-22 13:07,5903,1461,1,0.2,26.79,34,0
32,24-08-21 04:50,94982,386,1,0,28.55,0,0
33,27-09-22 17:48,81409,814,1,0,27.33,37,0
34,07-05-21 04:07,81957,722,1,0,45.88,24,0
35,27-12-22 22:28,16728,1680,1,0.05,104.11,10,0
36,04-10-22 07:05,2322,1129,1,0.1,59.99,14,0
37,28-11-23 21:37,82265,1838,4,0,124.12,40,0
38,07-09-23 05:51,6301,4,1,0.1,67.9,28,0
39,18-01-21 20:52,29955,1543,1,0.1,39.83,0,0
40,21-02-21 22:44,3897,966,1,0,71.93,0,0
41,02-12-22 15:37,83860,408,1,0,14.64,38,0
42,28-04-23 08:34,69804,42,3,0.15,197.45,27,0
43,05-09-21 18:58,90703,1677,1,0.2,51.09,22,0
44,11-03-21 22:04,91593,1236,1,0.15,78.91,16,0
45,04-12-23 20:24,64997,460,1,0,55.97,1,0
46,17-05-22 18:28,70071,773,1,0,60,5,0
47,22-10-21 08:28,84477,1035,1,0,62.29,31,0
48,18-11-21 16:02,18030,1056,1,0.1,55.4,31,0
49,23-12-23 07:08,29815,98,1,0,79.4,16,0
50,11-11-21 20:27,38085,558,1,0,146.29,18,0
51,21-09-22 14:44,88270,457,3,0.1,71.52,16,0
52,06-08-23 15:34,88590,747,1,0,41.36,13,0
53,25-01-21 13:56,92155,841,1,0,44.12,7,0
54,16-07-22 10:31,18777,1321,1,0.05,132.92,45,0
55,23-05-22 10:01,26849,355,1,0,63.61,43,0
56,13-06-23 04:11,1280,,3,0.15,,0,0
57,24-07-23 18:14,12129,813,1,0.1,10.81,2,0
58,23-07-22 20:38,32032,,1,0.05,,13,0
59,27-07-21 16:12,23261,114,1,0.05,60.13,39,0
60,04-03-22 23:55,69136,1733,1,0,22.72,8,0
61,28-05-21 03:50,51876,1093,1,0,71.1,32,0
62,26-10-21 11:12,89622,698,1,0.05,57.32,35,0
63,23-12-22 12:38,96081,671,1,0.15,84.38,39,0
64,28-09-21 17:12,48071,248,1,0,44.57,8,0
65,06-03-23 20:03,24473,375,1,0.15,8.02,8,0
66,02-05-23 08:21,34929,613,2,0,60.88,45,0
67,01-09-22 14:54,42861,1088,1,0,60.06,21,0
